央視頻道,#genre#
广东卫视,http://183.30.201.227:10002/rtp/239.77.0.166:5146
广东卫视,http://183.30.201.227:10002/rtp/239.77.1.19:5146
广东卫视,http://183.30.201.227:10002/rtp/239.77.1.152:5146
海南卫视,http://183.30.201.227:10002/rtp/239.253.43.35:5146
海南卫视,http://183.30.201.227:10002/rtp/239.253.43.101:5146
海南卫视,http://116.237.72.155:4022/rtp/233.18.204.102:5140
重庆卫视,http://183.30.201.227:10002/rtp/239.77.0.182:5146
重庆卫视,http://183.30.201.227:10002/rtp/239.77.1.162:5146
江苏卫视,http://183.30.201.227:10002/rtp/239.77.0.90:5146
江苏卫视,http://183.30.201.227:10002/rtp/239.77.1.18:5146
浙江卫视,http://183.30.201.227:10002/rtp/239.77.0.89:5146
浙江卫视,http://183.30.201.227:10002/rtp/239.77.1.33:5146
东方卫视,http://183.30.201.227:10002/rtp/239.77.0.98:5146
东方卫视,http://183.30.201.227:10002/rtp/239.77.1.218:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.0.92:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.0.130:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.1.3:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.1.107:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.1.148:5146
北京卫视,http://183.30.201.227:10002/rtp/239.77.0.91:5146
北京卫视,http://183.30.201.227:10002/rtp/239.77.0.232:5146
北京卫视,http://183.30.201.227:10002/rtp/239.77.1.4:5146
北京卫视,http://183.30.201.227:10002/rtp/239.77.1.151:5146
山东卫视,http://183.30.201.227:10002/rtp/239.77.0.94:5146
山东卫视,http://183.30.201.227:10002/rtp/239.77.1.142:5146
天津卫视,http://183.30.201.227:10002/rtp/239.77.0.97:5146
天津卫视,http://183.30.201.227:10002/rtp/239.77.0.131:5146
天津卫视,http://183.30.201.227:10002/rtp/239.77.1.141:5146
天津卫视,http://183.30.201.227:10002/rtp/239.77.1.182:5146
贵州卫视,http://183.30.201.227:10002/rtp/239.77.0.230:5146
贵州卫视,http://183.30.201.227:10002/rtp/239.77.1.221:5146
四川卫视,http://183.30.201.227:10002/rtp/239.77.0.159:5146
四川卫视,http://183.30.201.227:10002/rtp/239.77.1.215:5146
云南卫视,http://183.30.201.227:10002/rtp/239.253.43.37:5146
云南卫视,http://183.30.201.227:10002/rtp/239.253.43.100:5146
广西卫视,http://183.30.201.227:10002/rtp/239.77.0.139:5146
广西卫视,http://183.30.201.227:10002/rtp/239.253.43.36:5146
黑龙江卫视,http://183.30.201.227:10002/rtp/239.77.0.93:5146
黑龙江卫视,http://183.30.201.227:10002/rtp/239.77.0.124:5146
黑龙江卫视,http://183.30.201.227:10002/rtp/239.77.1.6:5146
黑龙江卫视,http://183.30.201.227:10002/rtp/239.77.1.179:5146
安徽卫视,http://183.30.201.227:10002/rtp/239.77.0.183:5146
安徽卫视,http://183.30.201.227:10002/rtp/239.77.1.92:5146
江西卫视,http://183.30.201.227:10002/rtp/239.77.0.149:5146
江西卫视,http://183.30.201.227:10002/rtp/239.77.1.219:5146
湖北卫视,http://183.30.201.227:10002/rtp/239.77.0.95:5146
湖北卫视,http://183.30.201.227:10002/rtp/239.77.0.128:5146
湖北卫视,http://183.30.201.227:10002/rtp/239.77.1.93:5146
湖北卫视,http://183.30.201.227:10002/rtp/239.77.1.174:5146
东南卫视,http://183.30.201.227:10002/rtp/239.77.0.146:5146
东南卫视,http://183.30.201.227:10002/rtp/239.77.1.104:5146
东南卫视,http://124.72.52.27:8988/rtp/239.61.2.132:8708
吉林卫视,http://183.30.201.227:10002/rtp/239.77.0.150:5146
吉林卫视,http://183.30.201.227:10002/rtp/239.77.1.111:5146
辽宁卫视,http://183.30.201.227:10002/rtp/239.77.1.103:5146
辽宁卫视,http://183.30.201.227:10002/rtp/239.77.0.123:5146
湖南卫视,http://183.30.201.227:10002/rtp/239.77.0.88:5146
湖南卫视,http://183.30.201.227:10002/rtp/239.77.1.5:5146
河南卫视,http://183.30.201.227:10002/rtp/239.77.0.17:5146
河南卫视,http://183.30.201.227:10002/rtp/239.77.1.229:5146
河北卫视,http://183.30.201.227:10002/rtp/239.77.0.148:5146
河北卫视,http://183.30.201.227:10002/rtp/239.77.1.214:5146
宁夏卫视,http://183.30.201.227:10002/rtp/239.77.0.49:5146
宁夏卫视,http://183.30.201.227:10002/rtp/239.77.0.73:5146
宁夏卫视,http://183.30.201.227:10002/rtp/239.77.1.28:5146
宁夏卫视,http://183.30.201.227:10002/rtp/239.77.1.246:5146
甘肃卫视,http://183.30.201.227:10002/rtp/239.77.0.189:5146
甘肃卫视,http://183.30.201.227:10002/rtp/239.77.1.57:5146
青海卫视,http://183.30.201.227:10002/rtp/239.253.43.125:5146
新疆卫视,http://183.30.201.227:10002/rtp/239.77.0.47:5146
新疆卫视,http://183.30.201.227:10002/rtp/239.77.0.75:5146
新疆卫视,http://183.30.201.227:10002/rtp/239.77.1.25:5146
新疆卫视,http://183.30.201.227:10002/rtp/239.253.43.202:5146
西藏卫视,http://183.30.201.227:10002/rtp/239.77.0.46:5146
西藏卫视,http://183.30.201.227:10002/rtp/239.77.0.74:5146
西藏卫视,http://183.30.201.227:10002/rtp/239.77.1.26:5146
兵团卫视,http://183.30.201.227:10002/rtp/239.77.0.48:5146
兵团卫视,http://183.30.201.227:10002/rtp/239.77.0.77:5146
兵团卫视,http://183.30.201.227:10002/rtp/239.77.1.29:5146
兵团卫视,http://183.30.201.227:10002/rtp/239.77.1.107:5146
深圳卫视,http://183.30.201.227:10002/rtp/239.77.1.189:5146
三沙卫视,http://183.30.201.227:10002/rtp/239.253.43.113:5146
陕西卫视,http://116.237.161.27:8881/rtp/233.18.204.223:5140
山西卫视,http://116.237.161.27:8881/rtp/233.18.204.211:5140
内蒙古卫视,http://116.237.161.27:8881/rtp/233.18.204.217:5140

北京頻道,#genre#
北京国际,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.131:8002
北京新闻,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.83:8000
北京影视,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.82:8000
北京文艺,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.22:8002
北京生活,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.108:8002
北京财经,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.106:8002
北京体育休闲,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.23:8002
北京纪实科教,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.105:8002
重温经典,http://home.airengine.net:9003/udp/228.1.1.237:8002
北京卡酷少儿,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.35:8000
北京IPTV淘电影,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.38:8002
北京IPTV淘剧场,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.37:8002
北京IPTV淘娱乐,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.61:8002
北京IPTV淘BABY,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.36:8002
北京IPTV萌宠TV,http://4px369674fn3.vicp.fun:7088/udp/225.1.8.63:8002

英美頻道,#genre#
BBC News,https://vs-cmaf-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/iptv_mse_v0_hevc.mpd
BBC News USA,https://d3pxo1qcgzxtxs.cloudfront.net/10005/99951298/hls/playlist.m3u8?ads.xumo_channelId=99951298
SKY News,https://xumo-drct-skynews-nc91a.fast.nbcuni.com/live/master.m3u8
BBC CBBC,http://41.180.140.146:4202/bysid/6972
BBC CBBC,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:cbbc_hd/iptv_mse_v0_hevc.mpd
BBC CBeebies,http://41.180.140.146:4220/bysid/10395
BBC CBeebies,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:cbeebies_hd/iptv_mse_v0_hevc.mpd
BOOMERANG,http://23.237.104.106:8080/USA_BOOMERANG/tracks-v1a1/mono.m3u8
CARTOON NETWORK,http://23.237.104.106:8080/USA_CARTOON_NETWORK/tracks-v1a1/mono.m3u8
COMEDY CENTRAL,http://23.237.104.106:8080/USA_COMEDY_CENTRAL/tracks-v1a1/mono.m3u8
Discovery,http://23.237.104.106:8080/USA_DISCOVERY/tracks-v1a1/mono.m3u8
Discovery Asia,http://[240e:f7:4f01:23:60::11]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226463/index.m3u8
National Geographic,http://[240e:f7:4f01:23:60::11]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226466/index.m3u8
Animal Planet,http://23.237.104.106:8080/USA_ANIMAL_PLANET/tracks-v1a1/mono.m3u8
Love Nature,https://d2wh06mmk97552.cloudfront.net/playlist/bamusaAAA-bamus-lovenature-lg/playlist.m3u8
Love Nature 4K,https://pb-ehs1glsha1juy.akamaized.net/Love_Nature_4K.m3u8
BBC Earth,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist.m3u8
BBC One London,https://vs-cmaf-push-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_london/iptv_mse_v0_hevc.mpd
BBC One Channel Islands,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_channel_islands/iptv_mse_v0_hevc.mpd
BBC One East,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_east/iptv_mse_v0_hevc.mpd
BBC One East Midlands,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_east_midlands/iptv_mse_v0_hevc.mpd
BBC One East Yorkshire,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_east_yorkshire/iptv_mse_v0_hevc.mpd
BBC One North East,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_north_east/iptv_mse_v0_hevc.mpd
BBC One North West,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_north_west/iptv_mse_v0_hevc.mpd
BBC One Northern Ireland,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_northern_ireland_hd/iptv_mse_v0_hevc.mpd
BBC One Northern Ireland,http://41.180.140.146:4202/bysid/6963
BBC One Scotland,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_scotland_hd/iptv_mse_v0_hevc.mpd
BBC One South,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_south/iptv_mse_v0_hevc.mpd
BBC One South East,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_south_east/iptv_mse_v0_hevc.mpd
BBC One South West,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_south_west/iptv_mse_v0_hevc.mpd
BBC One Wales,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_wales_hd/iptv_mse_v0_hevc.mpd
BBC One West,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_west/iptv_mse_v0_hevc.mpd
BBC One West Midlands,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_west_midlands/iptv_mse_v0_hevc.mpd
BBC One Yorks,https://vs-cmaf-pushb-uk-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_one_yorks/iptv_mse_v0_hevc.mpd
BBC Two,http://41.180.140.146:4202/bysid/6940
